Year,LocationAbbr,LocationDesc,DataSource,PriorityArea1,PriorityArea2,PriorityArea3,PriorityArea4,Category,Topic,Indicator,Data_Value_Type,Data_Value_Unit,Data_Value,Data_Value_Alt,Data_Value_Footnote_Symbol,Data_Value_Footnote,Confidence_limit_Low,Confidence_limit_High,Break_Out_Category,Break_Out,CategoryId,TopicId,IndicatorID,Data_Value_TypeID,BreakOutCategoryId,BreakOutId,LocationID,GeoLocation
1999-2000,US,United States,NHANES,None,None,None,None,Cardiovascular Diseases,Major Cardiovascular Disease,Prevalence of major cardiovascular disease among US adults (20+); NHANES,Age-Standardized,Percent (%),7.0,7.0,,,6.0,8.1,Overall,Overall,C1,T1,NH001,AgeStdz,BOC01,OVR01,59,
1999-2000,US,United States,NHANES,None,None,None,None,Cardiovascular Diseases,Major Cardiovascular Disease,Prevalence of major cardiovascular disease among US adults (20+); NHANES,Crude,Percent (%),25.2,25.2,,,21.0,30.0,Age,75+,C1,T1,NH001,Crude,BOC03,AGE08,59,
1999-2000,US,United States,NHANES,None,None,None,None,Cardiovascular Diseases,Major Cardiovascular Disease,Prevalence of major cardiovascular disease among US adults (20+); NHANES,Crude,Percent (%),7.3,7.3,,,6.2,8.5,Race,Non-Hispanic White,C1,T1,NH001,Crude,BOC04,RAC01,59,
1999-2000,US,United States,NHANES,None,None,None,None,Cardiovascular Diseases,Major Cardiovascular Disease,Prevalence of major cardiovascular disease among US adults (20+); NHANES,Crude,Percent (%),5.4,5.4,,,4.3,6.8,Race,Non-Hispanic Black,C1,T1,NH001,Crude,BOC04,RAC02,59,
1999-2000,US,United States,NHANES,None,None,None,None,Cardiovascular Diseases,Major Cardiovascular Disease,Prevalence of major cardiovascular disease among US adults (20+); NHANES,Age-Standardized,Percent (%),7.3,7.3,,,5.6,9.4,Race,Non-Hispanic Black,C1,T1,NH001,AgeStdz,BOC04,RAC02,59,
1999-2000,US,United States,NHANES,None,None,None,None,Cardiovascular Diseases,Major Cardiovascular Disease,Prevalence of major cardiovascular disease among US adults (20+); NHANES,Crude,Percent (%),,-1.0,-,Data not available,,,Race,Non-Hispanic Asian,C1,T1,NH001,Crude,BOC04,RAC03,59,
1999-2000,US,United States,NHANES,None,None,None,None,Cardiovascular Diseases,Major Cardiovascular Disease,Prevalence of major cardiovascular disease among US adults (20+); NHANES,Age-Standardized,Percent (%),,-1.0,-,Data not available,,,Race,Non-Hispanic Asian,C1,T1,NH001,AgeStdz,BOC04,RAC03,59,
1999-2000,US,United States,NHANES,None,None,None,None,Cardiovascular Diseases,Major Cardiovascular Disease,Prevalence of major cardiovascular disease among US adults (20+); NHANES,Age-Standardized,Percent (%),,-1.0,-,Data not available,,,Race,Hispanic,C1,T1,NH001,AgeStdz,BOC04,RAC04,59,
1999-2000,US,United States,NHANES,None,None,None,None,Cardiovascular Diseases,Major Cardiovascular Disease,Prevalence of major cardiovascular disease among US adults (20+); NHANES,Crude,Percent (%),,-1.0,-,Data not available,,,Race,Hispanic,C1,T1,NH001,Crude,BOC04,RAC04,59,
1999-2000,US,United States,NHANES,None,None,None,None,Cardiovascular Diseases,Major Cardiovascular Disease,Prevalence of major cardiovascular disease among US adults (20+); NHANES,Crude,Percent (%),,-2.0,~,Statistically unstable estimates not presented [unstable by NCHS standards: (standard error/estimate>0.30)],,,Race,Other,C1,T1,NH001,Crude,BOC04,RAC07,59,
1999-2000,US,United States,NHANES,None,None,None,None,Cardiovascular Diseases,Major Cardiovascular Disease,Prevalence of major cardiovascular disease among US adults (20+); NHANES,Age-Standardized,Percent (%),8.8,8.8,,,5.1,14.7,Race,Other,C1,T1,NH001,AgeStdz,BOC04,RAC07,59,
2001-2002,US,United States,NHANES,None,None,None,None,Cardiovascular Diseases,Major Cardiovascular Disease,Prevalence of major cardiovascular disease among US adults (20+); NHANES,Crude,Percent (%),6.7,6.7,,,5.8,7.7,Overall,Overall,C1,T1,NH001,Crude,BOC01,OVR01,59,
2001-2002,US,United States,NHANES,None,None,None,None,Cardiovascular Diseases,Major Cardiovascular Disease,Prevalence of major cardiovascular disease among US adults (20+); NHANES,Age-Standardized,Percent (%),7.4,7.4,,,6.5,8.2,Overall,Overall,C1,T1,NH001,AgeStdz,BOC01,OVR01,59,
2001-2002,US,United States,NHANES,None,None,None,None,Cardiovascular Diseases,Major Cardiovascular Disease,Prevalence of major cardiovascular disease among US adults (20+); NHANES,Crude,Percent (%),7.5,7.5,,,6.3,9.0,Gender,Male,C1,T1,NH001,Crude,BOC02,GEN01,59,
2001-2002,US,United States,NHANES,None,None,None,None,Cardiovascular Diseases,Major Cardiovascular Disease,Prevalence of major cardiovascular disease among US adults (20+); NHANES,Age-Standardized,Percent (%),8.7,8.7,,,7.6,10.0,Gender,Male,C1,T1,NH001,AgeStdz,BOC02,GEN01,59,
2001-2002,US,United States,NHANES,None,None,None,None,Cardiovascular Diseases,Major Cardiovascular Disease,Prevalence of major cardiovascular disease among US adults (20+); NHANES,Crude,Percent (%),5.9,5.9,,,4.9,7.2,Gender,Female,C1,T1,NH001,Crude,BOC02,GEN02,59,
2001-2002,US,United States,NHANES,None,None,None,None,Cardiovascular Diseases,Major Cardiovascular Disease,Prevalence of major cardiovascular disease among US adults (20+); NHANES,Age-Standardized,Percent (%),6.2,6.2,,,5.2,7.4,Gender,Female,C1,T1,NH001,AgeStdz,BOC02,GEN02,59,
2001-2002,US,United States,NHANES,None,None,None,None,Cardiovascular Diseases,Major Cardiovascular Disease,Prevalence of major cardiovascular disease among US adults (20+); NHANES,Crude,Percent (%),,-2.0,~,Statistically unstable estimates not presented [unstable by NCHS standards: (standard error/estimate>0.30)],,,Age,20-24,C1,T1,NH001,Crude,BOC03,AGE02,59,
2001-2002,US,United States,NHANES,None,None,None,None,Cardiovascular Diseases,Major Cardiovascular Disease,Prevalence of major cardiovascular disease among US adults (20+); NHANES,Crude,Percent (%),1.9,1.9,,,1.4,2.6,Age,25-44,C1,T1,NH001,Crude,BOC03,AGE04,59,
2001-2002,US,United States,NHANES,None,None,None,None,Cardiovascular Diseases,Major Cardiovascular Disease,Prevalence of major cardiovascular disease among US adults (20+); NHANES,Crude,Percent (%),6.7,6.7,,,4.9,9.0,Age,45-64,C1,T1,NH001,Crude,BOC03,AGE05,59,
2001-2002,US,United States,NHANES,None,None,None,None,Cardiovascular Diseases,Major Cardiovascular Disease,Prevalence of major cardiovascular disease among US adults (20+); NHANES,Crude,Percent (%),24.9,24.9,,,21.8,28.4,Age,65+,C1,T1,NH001,Crude,BOC03,AGE06,59,
2001-2002,US,United States,NHANES,None,None,None,None,Cardiovascular Diseases,Major Cardiovascular Disease,Prevalence of major cardiovascular disease among US adults (20+); NHANES,Crude,Percent (%),9.4,9.4,,,8.2,10.7,Age,35+,C1,T1,NH001,Crude,BOC03,AGE07,59,
2001-2002,US,United States,NHANES,None,None,None,None,Cardiovascular Diseases,Major Cardiovascular Disease,Prevalence of major cardiovascular disease among US adults (20+); NHANES,Crude,Percent (%),32.3,32.3,,,27.3,37.7,Age,75+,C1,T1,NH001,Crude,BOC03,AGE08,59,
2001-2002,US,United States,NHANES,None,None,None,None,Cardiovascular Diseases,Major Cardiovascular Disease,Prevalence of major cardiovascular disease among US adults (20+); NHANES,Crude,Percent (%),7.5,7.5,,,6.4,8.7,Race,Non-Hispanic White,C1,T1,NH001,Crude,BOC04,RAC01,59,
2001-2002,US,United States,NHANES,None,None,None,None,Cardiovascular Diseases,Major Cardiovascular Disease,Prevalence of major cardiovascular disease among US adults (20+); NHANES,Crude,Percent (%),7.4,7.4,,,6.0,9.1,Race,Non-Hispanic Black,C1,T1,NH001,Crude,BOC04,RAC02,59,
2001-2002,US,United States,NHANES,None,None,None,None,Cardiovascular Diseases,Major Cardiovascular Disease,Prevalence of major cardiovascular disease among US adults (20+); NHANES,Age-Standardized,Percent (%),9.0,9.0,,,7.6,10.7,Race,Non-Hispanic Black,C1,T1,NH001,AgeStdz,BOC04,RAC02,59,
2001-2002,US,United States,NHANES,None,None,None,None,Cardiovascular Diseases,Major Cardiovascular Disease,Prevalence of major cardiovascular disease among US adults (20+); NHANES,Crude,Percent (%),,-1.0,-,Data not available,,,Race,Non-Hispanic Asian,C1,T1,NH001,Crude,BOC04,RAC03,59,
2001-2002,US,United States,NHANES,None,None,None,None,Cardiovascular Diseases,Major Cardiovascular Disease,Prevalence of major cardiovascular disease among US adults (20+); NHANES,Age-Standardized,Percent (%),,-1.0,-,Data not available,,,Race,Non-Hispanic Asian,C1,T1,NH001,AgeStdz,BOC04,RAC03,59,
2001-2002,US,United States,NHANES,None,None,None,None,Cardiovascular Diseases,Major Cardiovascular Disease,Prevalence of major cardiovascular disease among US adults (20+); NHANES,Age-Standardized,Percent (%),,-1.0,-,Data not available,,,Race,Hispanic,C1,T1,NH001,AgeStdz,BOC04,RAC04,59,
2001-2002,US,United States,NHANES,None,None,None,None,Cardiovascular Diseases,Major Cardiovascular Disease,Prevalence of major cardiovascular disease among US adults (20+); NHANES,Crude,Percent (%),,-1.0,-,Data not available,,,Race,Hispanic,C1,T1,NH001,Crude,BOC04,RAC04,59,
2001-2002,US,United States,NHANES,None,None,None,None,Cardiovascular Diseases,Major Cardiovascular Disease,Prevalence of major cardiovascular disease among US adults (20+); NHANES,Crude,Percent (%),,-2.0,~,Statistically unstable estimates not presented [unstable by NCHS standards: (standard error/estimate>0.30)],,,Race,Other,C1,T1,NH001,Crude,BOC04,RAC07,59,
2001-2002,US,United States,NHANES,None,None,None,None,Cardiovascular Diseases,Major Cardiovascular Disease,Prevalence of major cardiovascular disease among US adults (20+); NHANES,Age-Standardized,Percent (%),,-2.0,~,Statistically unstable estimates not presented [unstable by NCHS standards: (standard error/estimate>0.30)],,,Race,Other,C1,T1,NH001,AgeStdz,BOC04,RAC07,59,
2003-2004,US,United States,NHANES,None,None,None,None,Cardiovascular Diseases,Major Cardiovascular Disease,Prevalence of major cardiovascular disease among US adults (20+); NHANES,Crude,Percent (%),7.8,7.8,,,6.5,9.3,Overall,Overall,C1,T1,NH001,Crude,BOC01,OVR01,59,
2003-2004,US,United States,NHANES,None,None,None,None,Cardiovascular Diseases,Major Cardiovascular Disease,Prevalence of major cardiovascular disease among US adults (20+); NHANES,Age-Standardized,Percent (%),7.9,7.9,,,6.8,9.3,Overall,Overall,C1,T1,NH001,AgeStdz,BOC01,OVR01,59,
2003-2004,US,United States,NHANES,None,None,None,None,Cardiovascular Diseases,Major Cardiovascular Disease,Prevalence of major cardiovascular disease among US adults (20+); NHANES,Age-Standardized,Percent (%),9.2,9.2,,,7.7,11.1,Gender,Male,C1,T1,NH001,AgeStdz,BOC02,GEN01,59,
2003-2004,US,United States,NHANES,None,None,None,None,Cardiovascular Diseases,Major Cardiovascular Disease,Prevalence of major cardiovascular disease among US adults (20+); NHANES,Crude,Percent (%),8.5,8.5,,,6.8,10.7,Gender,Male,C1,T1,NH001,Crude,BOC02,GEN01,59,
2003-2004,US,United States,NHANES,None,None,None,None,Cardiovascular Diseases,Major Cardiovascular Disease,Prevalence of major cardiovascular disease among US adults (20+); NHANES,Crude,Percent (%),7.1,7.1,,,5.9,8.5,Gender,Female,C1,T1,NH001,Crude,BOC02,GEN02,59,
2003-2004,US,United States,NHANES,None,None,None,None,Cardiovascular Diseases,Major Cardiovascular Disease,Prevalence of major cardiovascular disease among US adults (20+); NHANES,Age-Standardized,Percent (%),6.9,6.9,,,5.8,8.3,Gender,Female,C1,T1,NH001,AgeStdz,BOC02,GEN02,59,
2003-2004,US,United States,NHANES,None,None,None,None,Cardiovascular Diseases,Major Cardiovascular Disease,Prevalence of major cardiovascular disease among US adults (20+); NHANES,Crude,Percent (%),,-2.0,~,Statistically unstable estimates not presented [unstable by NCHS standards: (standard error/estimate>0.30)],,,Age,20-24,C1,T1,NH001,Crude,BOC03,AGE02,59,
2003-2004,US,United States,NHANES,None,None,None,None,Cardiovascular Diseases,Major Cardiovascular Disease,Prevalence of major cardiovascular disease among US adults (20+); NHANES,Crude,Percent (%),1.6,1.6,,,0.9,2.7,Age,25-44,C1,T1,NH001,Crude,BOC03,AGE04,59,
2003-2004,US,United States,NHANES,None,None,None,None,Cardiovascular Diseases,Major Cardiovascular Disease,Prevalence of major cardiovascular disease among US adults (20+); NHANES,Crude,Percent (%),8.1,8.1,,,5.8,11.0,Age,45-64,C1,T1,NH001,Crude,BOC03,AGE05,59,
2003-2004,US,United States,NHANES,None,None,None,None,Cardiovascular Diseases,Major Cardiovascular Disease,Prevalence of major cardiovascular disease among US adults (20+); NHANES,Crude,Percent (%),27.1,27.1,,,23.5,30.9,Age,65+,C1,T1,NH001,Crude,BOC03,AGE06,59,
2003-2004,US,United States,NHANES,None,None,None,None,Cardiovascular Diseases,Major Cardiovascular Disease,Prevalence of major cardiovascular disease among US adults (20+); NHANES,Crude,Percent (%),10.8,10.8,,,9.1,12.8,Age,35+,C1,T1,NH001,Crude,BOC03,AGE07,59,
2003-2004,US,United States,NHANES,None,None,None,None,Cardiovascular Diseases,Major Cardiovascular Disease,Prevalence of major cardiovascular disease among US adults (20+); NHANES,Crude,Percent (%),30.8,30.8,,,27.0,34.9,Age,75+,C1,T1,NH001,Crude,BOC03,AGE08,59,
2003-2004,US,United States,NHANES,None,None,None,None,Cardiovascular Diseases,Major Cardiovascular Disease,Prevalence of major cardiovascular disease among US adults (20+); NHANES,Crude,Percent (%),8.6,8.6,,,7.1,10.3,Race,Non-Hispanic White,C1,T1,NH001,Crude,BOC04,RAC01,59,
2003-2004,US,United States,NHANES,None,None,None,None,Cardiovascular Diseases,Major Cardiovascular Disease,Prevalence of major cardiovascular disease among US adults (20+); NHANES,Crude,Percent (%),7.0,7.0,,,5.5,8.8,Race,Non-Hispanic Black,C1,T1,NH001,Crude,BOC04,RAC02,59,
2003-2004,US,United States,NHANES,None,None,None,None,Cardiovascular Diseases,Major Cardiovascular Disease,Prevalence of major cardiovascular disease among US adults (20+); NHANES,Age-Standardized,Percent (%),8.3,8.3,,,6.6,10.2,Race,Non-Hispanic Black,C1,T1,NH001,AgeStdz,BOC04,RAC02,59,
2003-2004,US,United States,NHANES,None,None,None,None,Cardiovascular Diseases,Major Cardiovascular Disease,Prevalence of major cardiovascular disease among US adults (20+); NHANES,Crude,Percent (%),,-1.0,-,Data not available,,,Race,Non-Hispanic Asian,C1,T1,NH001,Crude,BOC04,RAC03,59,
2003-2004,US,United States,NHANES,None,None,None,None,Cardiovascular Diseases,Major Cardiovascular Disease,Prevalence of major cardiovascular disease among US adults (20+); NHANES,Age-Standardized,Percent (%),,-1.0,-,Data not available,,,Race,Non-Hispanic Asian,C1,T1,NH001,AgeStdz,BOC04,RAC03,59,
2013-2014,US,United States,NHANES,None,None,None,None,Cardiovascular Diseases,Major Cardiovascular Disease,Prevalence of major cardiovascular disease among US adults (20+); NHANES,Crude,Percent (%),29.0,29.0,,,24.5,34.1,Age,75+,C1,T1,NH001,Crude,BOC03,AGE08,59,
2003-2004,US,United States,NHANES,None,None,None,None,Cardiovascular Diseases,Major Cardiovascular Disease,Prevalence of major cardiovascular disease among US adults (20+); NHANES,Age-Standardized,Percent (%),,-1.0,-,Data not available,,,Race,Hispanic,C1,T1,NH001,AgeStdz,BOC04,RAC04,59,
2003-2004,US,United States,NHANES,None,None,None,None,Cardiovascular Diseases,Major Cardiovascular Disease,Prevalence of major cardiovascular disease among US adults (20+); NHANES,Crude,Percent (%),,-1.0,-,Data not available,,,Race,Hispanic,C1,T1,NH001,Crude,BOC04,RAC04,59,
2003-2004,US,United States,NHANES,None,None,None,None,Cardiovascular Diseases,Major Cardiovascular Disease,Prevalence of major cardiovascular disease among US adults (20+); NHANES,Crude,Percent (%),,-2.0,~,Statistically unstable estimates not presented [unstable by NCHS standards: (standard error/estimate>0.30)],,,Race,Other,C1,T1,NH001,Crude,BOC04,RAC07,59,
2003-2004,US,United States,NHANES,None,None,None,None,Cardiovascular Diseases,Major Cardiovascular Disease,Prevalence of major cardiovascular disease among US adults (20+); NHANES,Age-Standardized,Percent (%),,-2.0,~,Statistically unstable estimates not presented [unstable by NCHS standards: (standard error/estimate>0.30)],,,Race,Other,C1,T1,NH001,AgeStdz,BOC04,RAC07,59,
2005-2006,US,United States,NHANES,None,None,None,None,Cardiovascular Diseases,Major Cardiovascular Disease,Prevalence of major cardiovascular disease among US adults (20+); NHANES,Age-Standardized,Percent (%),7.3,7.3,,,6.6,8.2,Overall,Overall,C1,T1,NH001,AgeStdz,BOC01,OVR01,59,
2005-2006,US,United States,NHANES,None,None,None,None,Cardiovascular Diseases,Major Cardiovascular Disease,Prevalence of major cardiovascular disease among US adults (20+); NHANES,Crude,Percent (%),7.3,7.3,,,6.2,8.6,Overall,Overall,C1,T1,NH001,Crude,BOC01,OVR01,59,
2005-2006,US,United States,NHANES,None,None,None,None,Cardiovascular Diseases,Major Cardiovascular Disease,Prevalence of major cardiovascular disease among US adults (20+); NHANES,Crude,Percent (%),8.2,8.2,,,6.8,9.8,Gender,Male,C1,T1,NH001,Crude,BOC02,GEN01,59,
2005-2006,US,United States,NHANES,None,None,None,None,Cardiovascular Diseases,Major Cardiovascular Disease,Prevalence of major cardiovascular disease among US adults (20+); NHANES,Age-Standardized,Percent (%),8.7,8.7,,,7.9,9.7,Gender,Male,C1,T1,NH001,AgeStdz,BOC02,GEN01,59,
2005-2006,US,United States,NHANES,None,None,None,None,Cardiovascular Diseases,Major Cardiovascular Disease,Prevalence of major cardiovascular disease among US adults (20+); NHANES,Crude,Percent (%),6.5,6.5,,,5.1,8.2,Gender,Female,C1,T1,NH001,Crude,BOC02,GEN02,59,
2005-2006,US,United States,NHANES,None,None,None,None,Cardiovascular Diseases,Major Cardiovascular Disease,Prevalence of major cardiovascular disease among US adults (20+); NHANES,Age-Standardized,Percent (%),6.3,6.3,,,5.0,7.7,Gender,Female,C1,T1,NH001,AgeStdz,BOC02,GEN02,59,
2005-2006,US,United States,NHANES,None,None,None,None,Cardiovascular Diseases,Major Cardiovascular Disease,Prevalence of major cardiovascular disease among US adults (20+); NHANES,Crude,Percent (%),,-2.0,~,Statistically unstable estimates not presented [unstable by NCHS standards: (standard error/estimate>0.30)],,,Age,20-24,C1,T1,NH001,Crude,BOC03,AGE02,59,
2005-2006,US,United States,NHANES,None,None,None,None,Cardiovascular Diseases,Major Cardiovascular Disease,Prevalence of major cardiovascular disease among US adults (20+); NHANES,Crude,Percent (%),,-2.0,~,Statistically unstable estimates not presented [unstable by NCHS standards: (standard error/estimate>0.30)],,,Age,25-44,C1,T1,NH001,Crude,BOC03,AGE04,59,
2005-2006,US,United States,NHANES,None,None,None,None,Cardiovascular Diseases,Major Cardiovascular Disease,Prevalence of major cardiovascular disease among US adults (20+); NHANES,Crude,Percent (%),7.3,7.3,,,5.8,9.1,Age,45-64,C1,T1,NH001,Crude,BOC03,AGE05,59,
2005-2006,US,United States,NHANES,None,None,None,None,Cardiovascular Diseases,Major Cardiovascular Disease,Prevalence of major cardiovascular disease among US adults (20+); NHANES,Crude,Percent (%),25.6,25.6,,,23.2,28.2,Age,65+,C1,T1,NH001,Crude,BOC03,AGE06,59,
2005-2006,US,United States,NHANES,None,None,None,None,Cardiovascular Diseases,Major Cardiovascular Disease,Prevalence of major cardiovascular disease among US adults (20+); NHANES,Crude,Percent (%),9.9,9.9,,,8.5,11.5,Age,35+,C1,T1,NH001,Crude,BOC03,AGE07,59,
2005-2006,US,United States,NHANES,None,None,None,None,Cardiovascular Diseases,Major Cardiovascular Disease,Prevalence of major cardiovascular disease among US adults (20+); NHANES,Crude,Percent (%),33.1,33.1,,,28.6,37.9,Age,75+,C1,T1,NH001,Crude,BOC03,AGE08,59,
2005-2006,US,United States,NHANES,None,None,None,None,Cardiovascular Diseases,Major Cardiovascular Disease,Prevalence of major cardiovascular disease among US adults (20+); NHANES,Crude,Percent (%),8.3,8.3,,,6.9,9.9,Race,Non-Hispanic White,C1,T1,NH001,Crude,BOC04,RAC01,59,
2005-2006,US,United States,NHANES,None,None,None,None,Cardiovascular Diseases,Major Cardiovascular Disease,Prevalence of major cardiovascular disease among US adults (20+); NHANES,Age-Standardized,Percent (%),7.9,7.9,,,6.7,9.3,Race,Non-Hispanic Black,C1,T1,NH001,AgeStdz,BOC04,RAC02,59,
2005-2006,US,United States,NHANES,None,None,None,None,Cardiovascular Diseases,Major Cardiovascular Disease,Prevalence of major cardiovascular disease among US adults (20+); NHANES,Crude,Percent (%),6.6,6.6,,,5.3,8.1,Race,Non-Hispanic Black,C1,T1,NH001,Crude,BOC04,RAC02,59,
2005-2006,US,United States,NHANES,None,None,None,None,Cardiovascular Diseases,Major Cardiovascular Disease,Prevalence of major cardiovascular disease among US adults (20+); NHANES,Crude,Percent (%),,-1.0,-,Data not available,,,Race,Non-Hispanic Asian,C1,T1,NH001,Crude,BOC04,RAC03,59,
2005-2006,US,United States,NHANES,None,None,None,None,Cardiovascular Diseases,Major Cardiovascular Disease,Prevalence of major cardiovascular disease among US adults (20+); NHANES,Age-Standardized,Percent (%),,-1.0,-,Data not available,,,Race,Non-Hispanic Asian,C1,T1,NH001,AgeStdz,BOC04,RAC03,59,
2005-2006,US,United States,NHANES,None,None,None,None,Cardiovascular Diseases,Major Cardiovascular Disease,Prevalence of major cardiovascular disease among US adults (20+); NHANES,Crude,Percent (%),,-1.0,-,Data not available,,,Race,Hispanic,C1,T1,NH001,Crude,BOC04,RAC04,59,
2005-2006,US,United States,NHANES,None,None,None,None,Cardiovascular Diseases,Major Cardiovascular Disease,Prevalence of major cardiovascular disease among US adults (20+); NHANES,Age-Standardized,Percent (%),,-1.0,-,Data not available,,,Race,Hispanic,C1,T1,NH001,AgeStdz,BOC04,RAC04,59,
2005-2006,US,United States,NHANES,None,None,None,None,Cardiovascular Diseases,Major Cardiovascular Disease,Prevalence of major cardiovascular disease among US adults (20+); NHANES,Crude,Percent (%),,-2.0,~,Statistically unstable estimates not presented [unstable by NCHS standards: (standard error/estimate>0.30)],,,Race,Other,C1,T1,NH001,Crude,BOC04,RAC07,59,
2005-2006,US,United States,NHANES,None,None,None,None,Cardiovascular Diseases,Major Cardiovascular Disease,Prevalence of major cardiovascular disease among US adults (20+); NHANES,Age-Standardized,Percent (%),5.8,5.8,,,3.6,9.2,Race,Other,C1,T1,NH001,AgeStdz,BOC04,RAC07,59,
2007-2008,US,United States,NHANES,None,None,None,None,Cardiovascular Diseases,Major Cardiovascular Disease,Prevalence of major cardiovascular disease among US adults (20+); NHANES,Crude,Percent (%),7.3,7.3,,,6.4,8.3,Overall,Overall,C1,T1,NH001,Crude,BOC01,OVR01,59,
2007-2008,US,United States,NHANES,None,None,None,None,Cardiovascular Diseases,Major Cardiovascular Disease,Prevalence of major cardiovascular disease among US adults (20+); NHANES,Age-Standardized,Percent (%),7.2,7.2,,,6.3,8.2,Overall,Overall,C1,T1,NH001,AgeStdz,BOC01,OVR01,59,
2007-2008,US,United States,NHANES,None,None,None,None,Cardiovascular Diseases,Major Cardiovascular Disease,Prevalence of major cardiovascular disease among US adults (20+); NHANES,Crude,Percent (%),8.3,8.3,,,7.3,9.4,Gender,Male,C1,T1,NH001,Crude,BOC02,GEN01,59,
2007-2008,US,United States,NHANES,None,None,None,None,Cardiovascular Diseases,Major Cardiovascular Disease,Prevalence of major cardiovascular disease among US adults (20+); NHANES,Age-Standardized,Percent (%),8.6,8.6,,,7.7,9.6,Gender,Male,C1,T1,NH001,AgeStdz,BOC02,GEN01,59,
2007-2008,US,United States,NHANES,None,None,None,None,Cardiovascular Diseases,Major Cardiovascular Disease,Prevalence of major cardiovascular disease among US adults (20+); NHANES,Crude,Percent (%),6.4,6.4,,,5.2,7.8,Gender,Female,C1,T1,NH001,Crude,BOC02,GEN02,59,
2007-2008,US,United States,NHANES,None,None,None,None,Cardiovascular Diseases,Major Cardiovascular Disease,Prevalence of major cardiovascular disease among US adults (20+); NHANES,Age-Standardized,Percent (%),6.0,6.0,,,5.0,7.3,Gender,Female,C1,T1,NH001,AgeStdz,BOC02,GEN02,59,
